bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection
1087700,0,,10004,0,,MN25,40.702936,-74.012681,1,1,3957,0,1,,0,0,,,1,26,16,11,1,3,814
1087241,0,,10002,0,103,MN27,40.723196,-73.991248,1,1,3957,0,1,,0,0,,,1,22,13,8,1,3,478
1001971,0,,10013,0,101,MN24,40.717858,-74.005649,1,2,3957,0,1,,0,0,,,1,3,1,0,1,1,2471
1080776,0,,10016,0,,MN17,40.744524,-73.985803,1,1,3957,1,0,323,1,1,,,1,31,26,17,1,3,174
1088495,0,,10009,0,,MN28,40.728779,-73.978211,1,1,3957,1,0,332,1,1,,,1,15,9,8,1,3,814
1001233,0,,10007,0,,MN24,40.711917,-74.00922,1,1,3957,0,1,,0,0,,,1,21,20,11,1,3,2477
1001357,0,,10038,0,101,MN25,40.711902,-74.005844,1,1,3957,0,1,,0,0,,,1,29,20,15,1,3,1030
1050733,0,,10128,1,108,MN32,40.778696,-73.945106,1,1,3956,0,1,,0,0,,,1,36,36,25,1,3,811
1000813,0,,10004,0,101,MN25,40.706442,-74.012761,1,1,3956,0,1,,0,0,,,1,21,14,10,1,3,1059
1000814,0,,10004,0,101,MN25,40.706486,-74.012725,1,2,3956,0,1,,0,0,,,1,23,14,10,1,3,1059
1034497,0,,10036,0,,MN17,40.757898,-73.980165,1,1,3956,0,1,,0,0,,,1,32,25,17,1,3,751
1081406,0,,10019,0,105,MN17,40.760641,-73.978309,2,2,3956,1,0,55,1,1,,,0,59,45,39,1,3,196
1008621,0,,10012,0,,MN23,40.726805,-73.995941,1,1,3956,0,1,,0,0,,,1,23,15,10,1,3,198
1043955,0,,10021,0,,MN31,40.769317,-73.960432,1,1,3956,0,1,,0,0,,,1,22,17,14,1,3,1024
1081583,0,,10025,0,107,MN12,40.800105,-73.964957,1,1,3956,0,1,,0,0,,,1,22,18,13,1,3,994
1081691,0,,10010,0,,MN20,40.737087,-73.976917,1,2,3956,0,1,,0,0,,,1,0,0,0,0,0,
1002428,0,,10013,0,,MN27,40.716141,-73.996573,1,1,3956,0,1,,0,0,,,1,21,15,7,1,2,457
1023159,0,,10019,0,,MN17,40.762389,-73.981482,2,2,3956,0,1,,0,0,,,1,44,32,24,1,3,185
