bin,case,status_group,zip,in_outbreak_zip,community_board,nta,lat,lon,n_towers,n_active_towers,reg_age_days,n_samples,never_sampled,days_since_last_sample,n_samples_12mo,n_samples_24mo,median_gap_days,max_gap_days,overdue_90d,n_inspections,n_violations,n_citations,ever_violation,n_violation_types,days_since_last_inspection,bbl,yearbuilt,numfloors,unitsres,unitstotal,bldgarea,assesstot,landuse,bldg_age_yrs,log_assess,reg_age_yrs,days_since_last_inspection_imp
1051311,0,,10128.0,1,,MN32,40.776283,-73.946484,2,2,3957,1,0,23.0,1,1,,,0,53,37,21,1,3,139.0,1015837501,1963.0,16.0,90.0,94.0,93708.0,13517299.0,4,63.0,7.130889920408574,10.833675564681725,139.0
1047486,1,C_added_complete,10075.0,1,,MN40,40.775316,-73.958233,1,1,3940,6,0,27.0,6,6,63.0,76.0,0,44,40,29,1,3,134.0,1015080053,1932.0,4.0,0.0,2.0,23713.0,5985000.0,8,94.0,6.77706415474243,10.787132101300479,134.0
1087665,1,B_doh0710_expected,10128.0,1,108.0,MN32,40.780685,-73.94852,1,1,3940,3,0,24.0,3,3,29.5,31.0,0,23,17,4,1,3,646.0,1015540023,2007.0,32.0,110.0,111.0,244249.0,42638400.0,3,19.0,7.6298008994845485,10.787132101300479,646.0
1050614,1,B_doh0710_expected,10128.0,1,,MN32,40.778356,-73.947872,1,1,3958,3,0,15.0,3,3,160.5,293.0,0,24,19,10,1,3,374.0,1015680001,1964.0,16.0,205.0,213.0,227259.0,20731950.0,4,62.0,7.316640152764914,10.836413415468858,374.0
1048773,0,,10028.0,1,108.0,MN32,40.778197,-73.952544,3,3,3955,11,0,13.0,11,11,26.5,139.0,0,79,60,39,1,3,365.0,1015310029,1998.0,22.0,246.0,248.0,267891.0,55977750.0,3,28.0,7.748015438213346,10.82819986310746,365.0
1047667,0,,10028.0,1,,MN40,40.777613,-73.956589,1,1,3950,2,0,23.0,2,2,245.0,245.0,0,31,21,14,1,3,576.0,1015120123,1961.0,16.0,60.0,61.0,120034.0,14017050.0,3,65.0,7.146656622508797,10.8145106091718,576.0
1041821,0,,10075.0,1,,MN40,40.775323,-73.963263,1,1,3964,6,0,13.0,6,6,61.0,78.0,0,15,8,6,1,3,142.0,1013920017,1926.0,15.0,0.0,11.0,185000.0,51245100.0,5,100.0,7.709652344953184,10.85284052019165,142.0
1087664,1,B_doh0710_expected,10128.0,1,108.0,MN32,40.780515,-73.948156,1,1,3949,4,0,14.0,4,4,58.0,210.0,0,39,35,24,1,3,441.0,1015530027,2002.0,22.0,163.0,165.0,164384.0,28071000.0,4,24.0,7.448257884196469,10.811772758384668,441.0
1046842,0,,10028.0,1,,MN40,40.781034,-73.959967,2,2,3283,9,0,14.0,9,9,32.0,90.0,0,33,20,13,1,3,139.0,1014977501,1928.0,22.0,66.0,113.0,131838.0,26678256.0,4,98.0,7.426157435651842,8.988364134154688,139.0
1051382,0,,10028.0,1,108.0,MN32,40.772826,-73.946295,1,1,3956,3,0,20.0,3,3,29.5,30.0,0,16,9,7,1,3,667.0,1015900008,1963.0,20.0,191.0,193.0,296940.0,28726200.0,3,63.0,7.458278179831789,10.830937713894592,667.0
