,OR,CI_low,CI_high,p
const,0.6411,0.4668,0.8803,0.006
n_towers,0.9984,0.6492,1.5355,0.9942
reg_age_yrs,1.5714,0.9937,2.485,0.0533
days_since_last_sample_imp,0.9628,0.6345,1.4612,0.8587
n_samples_24mo,1.4857,0.9408,2.346,0.0894
n_violations,1.1315,0.7838,1.6335,0.5095
days_since_last_inspection_imp,0.8064,0.5803,1.1206,0.1999
