,OR,CI_low,CI_high,p
const,0.661,0.486,0.899,0.008
n_towers,0.902,0.597,1.362,0.623
n_samples_24mo,1.583,1.086,2.307,0.017
days_since_last_inspection_imp,0.79,0.569,1.096,0.158
tower_density_200m,0.905,0.659,1.243,0.539
n_wq_viol,1.678,0.895,3.145,0.106
n_phh_viol,0.746,0.405,1.374,0.347
