,OR,CI_low,CI_high,p
const,0.707,0.513,0.974,0.034
n_towers,0.85,0.579,1.247,0.405
reg_age_yrs,1.195,0.805,1.775,0.377
n_samples_24mo,1.52,1.058,2.185,0.023
n_violations,1.165,0.795,1.706,0.433
days_since_last_inspection_imp,0.79,0.563,1.107,0.17
bldg_age_yrs,0.935,0.609,1.436,0.759
numfloors,0.945,0.548,1.629,0.839
unitsres,1.0,0.657,1.52,0.998
log_assess,1.487,0.938,2.358,0.091
